;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_X15_desc;We've had a good run, but it's time to end our rulership of Bugeac: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X16_title;Grant Kappadokia Independence;;;;;;;;;;;;x,,
gtfo_X16_desc;We've had a good run, but it's time to end our rulership of Kappadokia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X17_title;Grant Charkliq Independence;;;;;;;;;;;;x,,
gtfo_X17_desc;We've had a good run, but it's time to end our rulership of Charkliq: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X18_title;Grant Lesser Charsianon Independence;;;;;;;;;;;;x,,
gtfo_X18_desc;We've had a good run, but it's time to end our rulership of Lesser Charsianon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X19_title;Grant Cyrenaica Independence;;;;;;;;;;;;x,,
gtfo_X19_desc;We've had a good run, but it's time to end our rulership of Cyrenaica: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X20_title;Grant Gobi-Altai Independence;;;;;;;;;;;;x,,
gtfo_X20_desc;We've had a good run, but it's time to end our rulership of Gobi-Altai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X21_title;Grant Mesopotamia Independence;;;;;;;;;;;;x,,
gtfo_X21_desc;We've had a good run, but it's time to end our rulership of Mesopotamia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X22_title;Grant Opsikion Independence;;;;;;;;;;;;x,,
gtfo_X22_desc;We've had a good run, but it's time to end our rulership of Opsikion: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X23_title;Grant Paphlagonia Independence;;;;;;;;;;;;x,,
gtfo_X23_desc;We've had a good run, but it's time to end our rulership of Paphlagonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X24_title;Grant Philippopolis Independence;;;;;;;;;;;;x,,
gtfo_X24_desc;We've had a good run, but it's time to end our rulership of Philippopolis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X25_title;Grant Sebasteia Independence;;;;;;;;;;;;x,,
gtfo_X25_desc;We've had a good run, but it's time to end our rulership of Sebasteia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X26_title;Grant Socotra Independence;;;;;;;;;;;;x,,
gtfo_X26_desc;We've had a good run, but it's time to end our rulership of Socotra: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X27_title;Grant Strymon Independence;;;;;;;;;;;;x,,
gtfo_X27_desc;We've had a good run, but it's time to end our rulership of Strymon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X28_title;Grant Thessali Independence;;;;;;;;;;;;x,,
gtfo_X28_desc;We've had a good run, but it's time to end our rulership of Thessali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X29_title;Grant Thrakesion Independence;;;;;;;;;;;;x,,
gtfo_X29_desc;We've had a good run, but it's time to end our rulership of Thrakesion: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X30_title;Grant Abydos Independence;;;;;;;;;;;;x,,
gtfo_X30_desc;We've had a good run, but it's time to end our rulership of Abydos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X31_title;Grant Aeolis Independence;;;;;;;;;;;;x,,
gtfo_X31_desc;We've had a good run, but it's time to end our rulership of Aeolis: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X32_title;Grant Bithynia Independence;;;;;;;;;;;;x,,
gtfo_X32_desc;We've had a good run, but it's time to end our rulership of Bithynia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X33_title;Grant Chalkidike Independence;;;;;;;;;;;;x,,
gtfo_X33_desc;We've had a good run, but it's time to end our rulership of Chalkidike: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X34_title;Grant Greater Charsianon Independence;;;;;;;;;;;;x,,
gtfo_X34_desc;We've had a good run, but it's time to end our rulership of Greater Charsianon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X35_title;Grant Koloneia Independence;;;;;;;;;;;;x,,
gtfo_X35_desc;We've had a good run, but it's time to end our rulership of Koloneia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X36_title;Grant Lykaonia Independence;;;;;;;;;;;;x,,
gtfo_X36_desc;We've had a good run, but it's time to end our rulership of Lykaonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X37_title;Grant Lydia Independence;;;;;;;;;;;;x,,
gtfo_X37_desc;We've had a good run, but it's time to end our rulership of Lydia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X38_title;Grant Naissos Independence;;;;;;;;;;;;x,,
gtfo_X38_desc;We've had a good run, but it's time to end our rulership of Naissos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X39_title;Grant Pacatiana Independence;;;;;;;;;;;;x,,
gtfo_X39_desc;We've had a good run, but it's time to end our rulership of Pacatiana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X40_title;Grant Pisidia Independence;;;;;;;;;;;;x,,
gtfo_X40_desc;We've had a good run, but it's time to end our rulership of Pisidia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X41_title;Grant Rhodos Independence;;;;;;;;;;;;x,,
gtfo_X41_desc;We've had a good run, but it's time to end our rulership of Rhodos: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X42_title;Grant Salines Independence;;;;;;;;;;;;x,,
gtfo_X42_desc;We've had a good run, but it's time to end our rulership of Salines: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X43_title;Grant Tustar Independence;;;;;;;;;;;;x,,
gtfo_X43_desc;We've had a good run, but it's time to end our rulership of Tustar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X44_title;Grant Australia Independence;;;;;;;;;;;;x,,
gtfo_X44_desc;We've had a good run, but it's time to end our rulership of Australia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_X45_title;Grant French Colombia Independence;;;;;;;;;;;;x,,
gtfo_X45_desc;We've had a good run, but it's time to end our rulership of French Colombia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XAL_title;Grant Xalisco Independence;;;;;;;;;;;;x,,
gtfo_XAL_desc;We've had a good run, but it's time to end our rulership of Xalisco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XIU_title;Grant Xiu Independence;;;;;;;;;;;;x,,
gtfo_XIU_desc;We've had a good run, but it's time to end our rulership of Xiu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_XMA_title;Grant Madurai Independence;;;;;;;;;;;;x,,
gtfo_XMA_desc;We've had a good run, but it's time to end our rulership of Madurai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKA_title;Grant Yaka Independence;;;;;;;;;;;;x,,
gtfo_YKA_desc;We've had a good run, but it's time to end our rulership of Yaka: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YKT_title;Grant Yokuts Independence;;;;;;;;;;;;x,,
gtfo_YKT_desc;We've had a good run, but it's time to end our rulership of Yokuts: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YOK_title;Grant Yokotan Independence;;;;;;;;;;;;x,,
gtfo_YOK_desc;We've had a good run, but it's time to end our rulership of Yokotan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_YRK_title;Grant Yarkand Independence;;;;;;;;;;;;x,,
gtfo_YRK_desc;We've had a good run, but it's time to end our rulership of Yarkand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZAP_title;Grant Zapotec Independence;;;;;;;;;;;;x,,
gtfo_ZAP_desc;We've had a good run, but it's time to end our rulership of Zapotec: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZIM_title;Grant Mutapa Independence;;;;;;;;;;;;x,,
gtfo_ZIM_desc;We've had a good run, but it's time to end our rulership of Mutapa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZUL_title;Grant Zulu Independence;;;;;;;;;;;;x,,
gtfo_ZUL_desc;We've had a good run, but it's time to end our rulership of Zulu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ZUN_title;Grant Dzungar Independence;;;;;;;;;;;;x,,
gtfo_ZUN_desc;We've had a good run, but it's time to end our rulership of Dzungar: if you love something, let it go!;;;;;;;;;;;;x
